(14716, 1166, -3047, -6421) (516, 516, 1730)
(14717, 1167, -3044, -6419) (530, 501, 1748)
(14717, 1170, -3042, -6419) (523, 488, 1718)
(14717, 1178, -3040, -6420) (520, 538, 1720)
(14716, 1180, -3034, -6424) (527, 527, 1758)
(14714, 1185, -3032, -6428) (541, 493, 1753)
(14711, 1194, -3033, -6434) (527, 554, 1730)
(14708, 1203, -3034, -6438) (535, 515, 1740)
(14705, 1213, -3036, -6442) (522, 571, 1723)
(14703, 1214, -3036, -6446) (523, 553, 1732)
(14701, 1217, -3041, -6448) (538, 548, 1743)
(14698, 1220, -3049, -6451) (538, 552, 1730)
(14695, 1228, -3060, -6450) (546, 543, 1737)
(14693, 1235, -3070, -6450) (550, 558, 1713)
(14691, 1234, -3075, -6451) (535, 530, 1747)
(14690, 1235, -3082, -6450) (538, 521, 1741)
(14689, 1242, -3089, -6448) (539, 554, 1743)
(14689, 1247, -3091, -6445) (525, 538, 1763)
(14690, 1251, -3093, -6443) (543, 554, 1754)
(14692, 1251, -3089, -6440) (535, 531, 1760)
(14694, 1253, -3083, -6438) (535, 549, 1751)
(14696, 1258, -3073, -6437) (542, 568, 1751)
pose Pose.REST
(14696, 1296, -3064, -6433) (644, 801, 1747)
(14686, 1398, -3033, -6449) (502, 1016, 1837)
(14685, 1391, -2949, -6491) (61, 969, 1808)
(14694, 1106, -2840, -6574) (345, -86, 2133)
(14690, 1047, -2877, -6577) (741, 17, 1757)
(14679, 1042, -2938, -6576) (707, 573, 1498)
(14665, 863, -2913, -6643) (532, 254, 1499)
(14637, 664, -2863, -6749) (652, 352, 1856)
(14616, 431, -2769, -6852) (519, 275, 1528)
(14603, 269, -2692, -6918) (573, 240, 1893)
(14592, 192, -2629, -6969) (385, 342, 1853)
(14591, 153, -2579, -6989) (454, 146, 1894)
(14592, 199, -2560, -6994) (432, 327, 1803)
(14593, 267, -2548, -6994) (404, 455, 1770)
(14595, 304, -2531, -6995) (432, 502, 1821)
(14597, 298, -2509, -6999) (470, 353, 1818)
(14599, 298, -2499, -6998) (516, 290, 1823)
(14599, 317, -2501, -6996) (520, 344, 1831)
(14600, 343, -2506, -6991) (512, 322, 1805)
(14600, 374, -2518, -6986) (526, 303, 1816)
